,Application order,Course,Daytime/evening attendance,Mother's occupation,Father's occupation,Displaced,Tuition fees up to date,Scholarship holder,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Unemployment rate,GDP,Target
0,5,2,1,6,10,1,1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,10.8,1.74,0
3,2,15,1,6,4,1,1,0,0,0,6,8,6,13.428571428571429,0,6,10,5,12.4,9.4,-3.12,1
6,1,12,1,8,11,1,1,1,0,0,7,9,7,13.3,0,8,8,8,14.345,15.5,-4.06,1
10,1,14,1,6,8,1,1,0,0,0,6,6,6,12.333333333333334,0,6,7,5,14.2,13.9,0.79,1
11,1,12,1,10,10,1,1,1,0,0,8,8,7,13.214285714285714,0,8,8,7,13.214285714285714,12.7,-1.7,1
12,2,16,1,5,10,1,1,0,0,0,6,6,0,0.0,0,6,0,0,0.0,12.7,-1.7,0
13,1,11,1,5,8,1,1,1,0,0,6,7,6,10.571428571428571,0,6,8,5,11.0,8.9,3.51,1
14,1,6,1,6,6,1,1,1,0,0,5,7,4,13.25,0,5,5,5,12.0,10.8,1.74,1
15,1,15,1,10,4,1,1,0,0,0,6,6,5,13.2,0,6,7,0,0.0,15.5,-4.06,0
17,2,12,1,6,5,1,1,0,0,0,7,8,7,13.30625,0,8,8,8,14.545,15.5,-4.06,1
18,1,8,1,4,6,1,1,0,0,0,5,8,4,12.5,0,5,8,4,12.25,10.8,1.74,1
20,3,2,1,10,9,0,1,1,0,0,0,0,0,0.0,0,0,0,0,0.0,11.1,2.02,1
22,4,12,1,2,2,1,1,0,0,0,8,12,7,12.857142857142858,0,8,12,7,12.857142857142858,12.7,-1.7,1
23,4,14,1,5,8,1,1,1,0,0,6,8,6,13.375,0,6,7,6,12.285714285714286,11.1,2.02,1
24,1,12,1,4,8,0,1,0,0,0,7,8,6,13.296666666666669,0,8,9,7,14.114285714285714,11.1,2.02,1
26,2,10,1,8,9,1,1,0,0,0,6,9,6,11.375,0,6,9,6,13.285714285714286,16.2,-0.92,1
28,1,9,1,10,10,1,1,0,0,0,5,6,5,12.0,0,5,6,5,12.333333333333334,16.2,-0.92,1
36,1,7,1,1,1,1,1,0,0,0,5,0,0,0.0,0,5,0,0,0.0,7.6,0.32,0
37,1,9,1,7,7,0,1,0,0,0,5,10,1,10.0,0,5,8,2,12.0,16.2,-0.92,0
40,5,15,1,3,3,0,1,0,0,0,6,6,4,12.75,0,5,5,0,0.0,12.7,-1.7,0
41,2,9,1,3,8,1,1,0,0,0,5,5,5,14.8,0,5,5,5,15.8,8.9,3.51,1
42,6,12,1,3,3,1,1,0,0,0,7,9,5,13.928,0,8,9,7,14.342857142857142,11.1,2.02,1
46,2,10,1,10,10,1,1,0,0,0,6,6,6,11.666666666666666,0,6,8,5,13.2,11.1,2.02,1
